NO.,RUAS JALAN,TITIK LOKASI,KETERANGAN
98,JL. MOH. TOHA,DEPAN TK. KEMALA BHAYANGKARI,HALTE ANGKUTAN UMUM PERKOTAAN
99,JL. DEWI SARTIKA,DEPAN KCP BCA,HALTE ANGKUTAN UMUM PERKOTAAN
100,JL. LENGKONG BESAR,DEPAN SDN LENGKONG BESAR,HALTE ANGKUTAN UMUM PERKOTAAN
101,JL. BANTENG,DEPAN YAYASAN SEKOLAH MEDINA,HALTE ANGKUTAN UMUM PERKOTAAN
102,JL. PALASARI,DEPAN YAYASAN KEMALA BHAYANGKARI,HALTE ANGKUTAN UMUM PERKOTAAN
103,JL. PALASARI,DEPAN YAYASAN MUSLIMIN,HALTE ANGKUTAN UMUM PERKOTAAN
104,JL. PANATAYUDHA,DEPAN TAMAN /PGII,HALTE ANGKUTAN UMUM PERKOTAAN
105,JL. WASTU KENCANA,DEPAN HOTEL CALIFORNIA,HALTE ANGKUTAN UMUM PERKOTAAN
106,JL. WASTU KENCANA,DEPAN PASAR BUNGA,HALTE ANGKUTAN UMUM PERKOTAAN
107,JL. TAMANSARI,DEPAN BONBIN 2,HALTE ANGKUTAN UMUM PERKOTAAN
108,JL. TAMANSARI,DEPAN SABUGA,HALTE ANGKUTAN UMUM PERKOTAAN
109,JL. SUKAJADI,DEPAN BANK MANDIRI,HALTE ANGKUTAN UMUM PERKOTAAN
110,JL. SUKAJADI,SAMPING  TK.SD. GIKI,HALTE ANGKUTAN UMUM PERKOTAAN
111,JL. SETIABUDHI,DEPAN BANK SYARIAH MANDIRI/BORMA,HALTE ANGKUTAN UMUM PERKOTAAN
112,JL. SETIABUDHI,TAMAN KS/SIMPANG CIHAMPELAS,HALTE ANGKUTAN UMUM PERKOTAAN
113,JL. BAPA HUSEN,DEPAN RS. ADVENT,HALTE ANGKUTAN UMUM PERKOTAAN
